Yes. The distinction is now clear.

You are **not** asking me which platform has the most features. You are asking me to dissect each product as a **messaging experience**:

**1. What is the single most important messaging feature?**
**2. What does an ordinary user actually do, step by step?**
**3. How is that feature presented/decorated in the interface?**
**4. What is the systematic structure underneath it?**
**5. What does the platform add beyond plain messaging?**

That is the useful benchmark for designing a serious messaging application.

I have also tightened the research standard here: where an item is not actually a standalone platform, has been discontinued, or I cannot verify the product you intended, I will say so rather than manufacture a feature.

---

# The 100-platform messaging benchmark

## 1–10

| #      | Platform     | Crucial messaging feature                          | Ordinary flow                                                                           | How the interface/system is organised                                                                                                                                                                                                                                                                                                                                | Beyond chat                                                                                      |
| ------ | ------------ | -------------------------------------------------- | --------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------ |
| **1**  | **Discord**  | **Server/channel communication**                   | Join server → open channel → read/send → reply/thread → jump to voice                   | Server on left → channel hierarchy → message stream → right-side member/presence layer. Channels, threads, forums, voice and apps are separated by purpose.                                                                                                                                                                                                          | Forums, voice, stages, Activities, apps, roles, events                                           |
| **2**  | **Slack**    | **Contextual team conversation**                   | Workspace → channel/DM → message → thread → action                                      | Workspace → channels/DMs → conversation pane → contextual side panels. Canvases and Lists are deliberately separate from the raw chat stream. Slack explicitly positions channels, Huddles, Canvases, Lists and integrations as one work system. ([Slack][1])                                                                                                        | Huddles, Canvas, Lists, workflows, integrations, AI                                              |
| **3**  | **WhatsApp** | **Extremely frictionless private/group messaging** | Chats → open contact/group → message → media/voice → call                               | Very restrained chat list, contact identity, message bubbles, familiar attachment tray, calls/status/community kept as distinct sections rather than cluttering the thread.                                                                                                                                                                                          | Communities, Channels, Status, business services, payments in supported markets                  |
| **4**  | **Telegram** | **Rich, large-scale messaging**                    | Contact/group/channel → message → reply/forward/media → optional bot/Mini App           | Very information-dense but modular: chat list, pinned items, folders, topics, media, bots and channels each have their own interaction model.                                                                                                                                                                                                                        | Channels, massive groups, topics, bots, Mini Apps                                                |
| **5**  | **Signal**   | **Private end-to-end encrypted messaging**         | Contact/group → message → reply/react/edit/disappear → call                             | Deliberately quiet UI; privacy controls are embedded into the conversation rather than presented as a giant security dashboard. Signal currently supports polls, pinned messages, usernames/number privacy, Stories, folders, scheduling, screen sharing, themes, disappearing messages and Note to Self. ([Signal Support][2])                                      | Private Stories, disappearing messages, encrypted calls, Note to Self, privacy identity controls |
| **6**  | **Element**  | **Room-based federated messaging**                 | Homeserver/account → Space → room → message/thread → call                               | Spaces act as higher-level containers; rooms are the actual conversations. This prevents one enormous global chat list.                                                                                                                                                                                                                                              | Federation, bridges, widgets, calls, communities                                                 |
| **7**  | **Revolt**   | **Server/channel messaging**                       | Server → channel → message → reply → voice                                              | Similar mental model to Discord: persistent servers, channels, permissions and community organisation rather than a flat contact inbox.                                                                                                                                                                                                                              | Community spaces, voice, roles, open ecosystem                                                   |
| **8**  | **Beeper**   | **Unified multi-network inbox**                    | Open one inbox → see conversations from multiple networks → reply without changing apps | The decoration is intentionally **inbox-centric**, not network-centric. Different networks are abstracted behind a common conversation list. Beeper currently advertises connections including WhatsApp, Instagram, Telegram, Signal, Messenger, X, Google Messages, Google Chat, LinkedIn, Discord and Slack, together with reminders and scheduling. ([Beeper][3]) | Multi-network aggregation, reminders, scheduling, unified search/workflow                        |
| **9**  | **Threema**  | **Privacy-preserving direct/group messaging**      | Contact/group → compose → send → call/share                                             | Minimal secure-messenger presentation; identity and privacy controls are secondary layers rather than dominating the message surface.                                                                                                                                                                                                                                | Encrypted calls, groups, polls, business/enterprise functions                                    |
| **10** | **Viber**    | **Expressive messaging**                           | Chat → text/photo/video/voice → sticker/GIF → reaction/call                             | Very visual composer and expression tools; sticker/GIF choices are treated as a communication language rather than obscure add-ons. Viber officially highlights stickers/GIFs, voice/video, group chat, Communities, edit/delete, disappearing messages and full device sync. ([Viber][4])                                                                           | Stickers, GIFs, Communities, Viber Out, calls                                                    |

---

## 11–20

| #      | Platform              | Crucial messaging feature               | Ordinary flow                                                            | Interface/system logic                                                                                                                                                                                                                                                                                | Beyond chat                                                         |
| ------ | --------------------- | --------------------------------------- | ------------------------------------------------------------------------ | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------- |
| **11** | **WeChat**            | **Messaging as a gateway to services**  | Contact/group → message → shared content/service → transaction/action    | Messaging is one major tab within a much larger ecosystem; services can feel native rather than “opened externally”.                                                                                                                                                                                  | Mini Programs, Channels, payments, commerce, services               |
| **12** | **LINE**              | **Stickers + rich personal messaging**  | Chat → text → sticker/media → call                                       | Strong visual identity, character/sticker-first expression and separate social/service areas.                                                                                                                                                                                                         | OpenChat, official accounts, stickers, games/services               |
| **13** | **KakaoTalk**         | **Persistent social messaging**         | Contact/group → chat → media/sticker → call/service                      | Clean conversation area surrounded by a larger Kakao service ecosystem; identity and contacts are central.                                                                                                                                                                                            | Open Chat, Channels, commerce/gifts, wider Kakao services           |
| **14** | **Session**           | **Pseudonymous private messaging**      | Create identity → connect → message → disappearing/private communication | Interface remains messenger-like, but the system deliberately avoids making the phone-number identity model the centre.                                                                                                                                                                               | Decentralised privacy architecture                                  |
| **15** | **Wickr / AWS Wickr** | **Ephemeral secure communication**      | DM/room → send → timed expiry/burn-on-read → call/file                   | Security controls are exposed as room/message policies rather than decorative effects. AWS Wickr supports 1:1/group messages, 1–5 GB-class file sharing depending on offering, expiry timers, burn-on-read, audio/video calls, screen sharing and administrative controls. ([Amazon Web Services][5]) | Compliance, federation, retention, bots, enterprise security        |
